plastic,epsilon,index,aSurf[A^2],aVol[A^3]
N66,4,0,8574.8614678873437,38069.732118848115
N66,4,1,8681.0137582343177,38196.066072641494
N66,4,2,8949.1073940521037,38322.499304367622
N66,4,3,8863.5876114028288,38328.065798853568
N66,4,4,8800.3977779125435,38316.274282596380
N66,4,5,8474.0103210264660,37857.997074848710
N66,4,6,8848.5297251420325,38347.661393626091
N66,4,7,8714.9892816993779,38210.121698421011
N66,4,8,8798.2632859872356,38245.509811815908
N66,4,9,8677.6504223015654,38156.875019922831
N66,4,10,9181.2201194444988,38858.428245607181
N66,4,11,8855.1611181705994,38175.119984829129
N66,4,12,8850.7384788580803,38400.150737251701
N66,4,13,8889.9083113165616,38453.592584582751
N66,4,14,8993.9289338267517,38617.957201139099
N66,4,15,9256.5952196171456,39071.078776924398
N66,4,16,8650.1759980493152,38048.530457645669
N66,4,17,8637.8559888069794,38148.192814169917
N66,4,18,9089.6683626493814,38781.439077148476
N66,4,19,8738.6494035262531,38219.975824742120
N66,4,20,8911.0958203339578,38477.441381175820
N66,4,21,8802.9384776045936,38435.121604442706
N66,4,22,9512.3227791825229,39119.218292691206
N66,4,23,8814.1863417456825,38209.984669793943
N66,4,24,8605.3233643632975,37980.591144445105
N66,4,25,8621.0747570513558,37937.098217961960
N66,4,26,8967.0644085616314,38636.747138182902
N66,4,27,8625.1845857317312,38124.234344455755
N66,4,28,8603.4134775138245,38088.511512630881
N66,4,29,9077.0726455173062,38555.929257519136
N66,4,30,8599.8677769772839,38076.042857275366
N66,4,31,8972.8887341773716,38379.225479432454
N66,4,32,8858.0189565336550,38370.776067214872
N66,4,33,8670.8672601066664,38107.470903876696
N66,4,34,8611.0496179354268,38080.434236983332
N66,4,35,8509.3354274147914,37979.441191945043
N66,4,36,8651.7903126618148,38131.843604129121
N66,4,37,8821.1515963146539,38162.801686100123
N66,4,38,8728.9446834899209,38375.809201862750
N66,4,39,8709.2348105252950,38161.209788268287
N66,4,40,9063.3401371359996,38417.843541831302
N66,4,41,8801.3033032532148,38227.163159927724
N66,4,42,8983.1267619568061,38664.704797173028
N66,4,43,8549.2380548583897,38198.120698320061
N66,4,44,8884.4432570778117,38283.205998197860
N66,4,45,8783.8999450207448,38283.476204388593
N66,4,46,8921.4130907196704,38261.259635152572
N66,4,47,8577.2892570019230,38084.124962959038
N66,4,48,8728.6677016289486,38266.027346048941
N66,4,49,8691.8200810636063,38166.069333221509
N66,4,50,8600.7507441656107,38036.509684277880
