Frame, Asphericity Parameter
0,15.476
1,23.823
2,26.966
3,29.028
4,22.962
5,20.368
6,37.193
7,36.113
8,22.237
9,34.730
10,18.981
11,32.188
12,25.021
13,20.522
14,34.501
15,34.113
16,18.881
17,33.128
18,26.085
19,33.619
20,30.521
21,19.912
22,16.345
23,20.549
24,41.174
25,20.444
26,18.565
27,33.788
28,30.378
29,29.297
30,35.443
31,16.120
32,31.311
33,23.812
34,13.559
35,31.564
36,33.900
37,12.797
38,32.485
39,25.698
40,19.142
41,41.919
42,27.214
43,13.477
44,32.732
45,14.047
46,23.465
47,35.188
48,31.931
49,39.458
50,33.592
