#Frame Index,  Radius of gyration [pm]
0, 1485.0065
1, 1484.9341
2, 1477.3208
3, 1551.1492
4, 1530.899
5, 1519.9506
6, 1477.5378
7, 1493.4482
8, 1495.3122
9, 1508.2596
10, 1471.8109
11, 1499.9651
12, 1517.8794
13, 1545.3582
14, 1491.7985
15, 1467.45
16, 1510.5346
17, 1489.5385
18, 1496.161
19, 1505.7555
20, 1480.0291
21, 1455.2033
22, 1483.2792
23, 1466.3022
24, 1509.6507
25, 1499.4992
26, 1497.1051
27, 1473.2313
28, 1510.572
29, 1473.0181
30, 1499.2535
31, 1493.9278
32, 1488.364
33, 1472.1674
34, 1525.2834
35, 1479.1602
36, 1477.2035
37, 1511.358
38, 1498.5218
39, 1500.7217
40, 1488.5245
41, 1532.3028
42, 1464.0179
43, 1479.649
